Sample Time,Time_x,Temperature 1,Calibrated Temperature 1,Temperature 1 Stable,Temperature 2,Calibrated Temperature 2,Temperature 2 Stable,salinity,Calibrated Salinity,Salinity Stable,pH,Calibrated pH,pH Stable,elapsed,Time_y,IMU A1,IMU A2,IMU A3,IMU G1,IMU G2,IMU G3,IMU M1,IMU M2,IMU M3,Latitude,Longitude
2018-06-10 12:10:30-07:00,1785233833.0,330.0,20.625,1.0,5211.0,20.514,0.0,,,,,,,2975.046,1785234551.8,-12.458333333333334,494.0833333333333,38.833333333333336,-13.625,6.666666666666667,1.8333333333333333,108.79166666666667,-33.875,424.125,33.19184,-117.38376
2018-06-10 12:10:36-07:00,1785239853.0,330.0,20.625,1.0,5212.0,20.518,0.0,,,,,,,2981.093,1785240644.1153846,-71.08333333333333,484.5833333333333,46.083333333333336,-19.875,96.41666666666667,50.208333333333336,122.75,-38.916666666666664,310.5833333333333,33.19184,-117.38376
2018-06-10 12:10:42-07:00,1785245872.0,331.0,20.688000000000002,0.0,5208.0,20.502,0.0,,,,,,,2987.139,1785246728.96,37.125,488.4583333333333,1.2083333333333333,-23.083333333333332,-203.79166666666666,4.0,96.66666666666667,-17.5,316.9166666666667,33.19184,-117.38376
2018-06-10 12:10:48-07:00,1785251892.0,330.0,20.625,0.0,5203.0,20.483,0.0,,,,,,,2993.185,1785252709.0,103.79166666666667,496.625,63.5,-8.208333333333334,7.458333333333333,16.625,235.66666666666666,-49.5,442.0833333333333,33.19184,-117.38376
2018-06-10 12:10:54-07:00,1785257912.0,331.0,20.688000000000002,0.0,5202.0,20.479,0.0,,,,,,,2999.232,1785258569.6666667,13.652173913043478,451.82608695652175,44.34782608695652,-19.347826086956523,16.391304347826086,23.043478260869566,161.82608695652175,-34.608695652173914,435.6521739130435,33.19184,-117.38376
2018-06-10 12:11:00-07:00,1785263932.0,331.0,20.688000000000002,0.0,5193.0,20.442999999999998,0.0,,,,,,,3005.279,1785264425.36,-55.666666666666664,492.1666666666667,44.25,-17.125,47.416666666666664,6.166666666666667,152.125,-46.708333333333336,423.9583333333333,33.19184,-117.38376
2018-06-10 12:11:06-07:00,1785269952.0,331.0,20.688000000000002,0.0,5193.0,20.442999999999998,0.0,,,,,,,3011.326,1785270404.68,-95.625,489.4166666666667,41.666666666666664,-5.25,13.625,11.291666666666666,121.70833333333333,-49.458333333333336,372.875,33.19184,-117.38376
2018-06-10 12:11:12-07:00,1785275971.0,331.0,20.688000000000002,1.0,5198.0,20.463,0.0,,,,,,,3017.371,1785276384.64,-111.45833333333333,481.9166666666667,11.625,-18.583333333333332,8.916666666666666,15.25,126.16666666666667,-46.666666666666664,300.1666666666667,33.19184,-117.38376
2018-06-10 12:11:18-07:00,1785281992.0,330.0,20.625,1.0,5195.0,20.451,0.0,,,,,,,3023.419,1785282361.76,-85.54166666666667,488.3333333333333,24.166666666666668,-4.333333333333333,-4.875,35.541666666666664,114.66666666666667,-42.25,297.4166666666667,33.19184,-117.38376
2018-06-10 12:11:24-07:00,1785288012.0,330.0,20.625,1.0,5197.0,20.459,1.0,,,,,,,3029.466,1785288395.7586207,-60.142857142857146,498.85714285714283,6.357142857142857,-37.107142857142854,0.8928571428571429,9.785714285714286,109.85714285714286,-34.92857142857143,281.35714285714283,33.19184,-117.38376
2018-06-10 12:11:30-07:00,1785294032.0,330.0,20.625,1.0,5198.0,20.463,1.0,,,,,,,3035.513,1785294126.7307692,-64.52,480.88,33.8,18.12,-25.72,2.72,121.44,-31.84,258.48,33.19184,-117.38376
2018-06-10 12:11:36-07:00,1785300051.0,330.0,20.625,1.0,5197.0,20.459,1.0,,,,,,,3041.558,1785300204.32,-12.333333333333334,500.4166666666667,17.5,-15.083333333333334,-46.541666666666664,26.375,86.58333333333333,-33.083333333333336,338.0833333333333,33.19184,-117.38376
2018-06-10 12:11:42-07:00,1785306071.0,330.0,20.625,1.0,5201.0,20.475,1.0,,,,,,,3047.605,1785306299.6923077,-16.166666666666668,491.4166666666667,25.583333333333332,-4.708333333333333,-90.08333333333333,6.291666666666667,131.20833333333334,-40.125,404.125,33.19184,-117.38376
2018-06-10 12:11:48-07:00,1785312091.0,330.0,20.625,1.0,5199.0,20.467,1.0,,,,,,,3053.652,1785312380.88,-7.375,495.25,9.958333333333334,-5.958333333333333,67.33333333333333,-4.666666666666667,79.875,-23.541666666666668,356.7083333333333,33.19184,-117.38376
2018-06-10 12:11:54-07:00,1785318111.0,330.0,20.625,1.0,5202.0,20.479,1.0,,,,,,,3059.699,1785318360.24,-95.16666666666667,496.25,35.5,-18.25,33.0,23.25,131.875,-45.375,279.4583333333333,33.19184,-117.38376
2018-06-10 12:12:00-07:00,1785324131.0,330.0,20.625,1.0,5201.0,20.475,1.0,,,,,,,3065.745,1785324339.32,-74.45833333333333,492.8333333333333,11.583333333333334,-15.125,-24.375,13.25,114.16666666666667,-39.0,280.3333333333333,33.19184,-117.38376
2018-06-10 12:12:06-07:00,1785330151.0,330.0,20.625,1.0,5206.0,20.494,1.0,,,,,,,3071.792,1785330412.7777777,-99.61538461538461,487.11538461538464,28.615384615384617,-13.153846153846153,6.0,25.076923076923077,140.69230769230768,-42.0,256.6923076923077,33.19184,-117.38376
2018-06-10 12:12:12-07:00,1785336171.0,331.0,20.688000000000002,1.0,5202.0,20.479,1.0,,,,,,,3077.839,1785336175.7741935,-118.5,484.9,23.566666666666666,-13.266666666666667,-2.0,2.2666666666666666,149.33333333333334,-41.266666666666666,246.86666666666667,33.19184,-117.38376
2018-06-10 12:12:18-07:00,1785342191.0,330.0,20.625,1.0,5195.0,20.451,1.0,,,,,,,3083.886,1785342227.44,-85.0,504.6666666666667,21.583333333333332,-11.166666666666666,-33.875,3.875,134.91666666666666,-37.916666666666664,251.16666666666666,33.19184,-117.38376
2018-06-10 12:12:24-07:00,1785348212.0,330.0,20.625,0.0,5202.0,20.479,0.0,,,,,,,3089.933,1785348085.5833333,-262.69565217391306,440.2608695652174,6.043478260869565,-16.043478260869566,-2.608695652173913,8.826086956521738,202.2608695652174,-57.82608695652174,272.3478260869565,33.19184,-117.38376
2018-06-10 12:12:30-07:00,1785354232.0,330.0,20.625,0.0,5198.0,20.463,0.0,,,,,,,3095.98,1785353946.72,-116.08333333333333,480.0416666666667,17.208333333333332,-18.625,15.5,41.833333333333336,154.20833333333334,-44.208333333333336,253.45833333333334,33.19184,-117.38376
2018-06-10 12:12:36-07:00,1785360252.0,330.0,20.625,0.0,5205.0,20.49,0.0,,,,,,,3102.027,1785359924.28,-30.541666666666668,505.9583333333333,24.125,-23.166666666666668,-36.083333333333336,21.541666666666668,116.33333333333333,-25.333333333333332,245.75,33.19184,-117.38376
2018-06-10 12:12:42-07:00,1785366272.0,330.0,20.625,1.0,5205.0,20.49,1.0,,,,,,,3108.074,1785365951.2307692,-88.52,478.08,42.28,6.44,-4.52,27.52,133.68,-30.16,244.56,33.19184,-117.38376
2018-06-10 12:12:48-07:00,1785372292.0,330.0,20.625,1.0,5206.0,20.494,1.0,,,,,,,3114.12,1785371999.0384614,-16.333333333333332,497.7083333333333,1.4166666666666667,-4.708333333333333,14.875,0.4166666666666667,125.54166666666667,-29.375,237.95833333333334,33.19184,-117.38376
2018-06-10 12:12:54-07:00,1785378311.0,331.0,20.688000000000002,1.0,5207.0,20.498,1.0,,,,,,,3120.166,1785378082.32,-19.208333333333332,491.5416666666667,49.083333333333336,-11.791666666666666,-14.916666666666666,6.958333333333333,141.41666666666666,-18.0,208.91666666666666,33.19184,-117.38376
2018-06-10 12:13:00-07:00,1785384331.0,330.0,20.625,1.0,5205.0,20.49,1.0,,,,,,,3126.213,1785384059.72,-15.75,499.0,22.958333333333332,-4.291666666666667,-1.2916666666666667,6.791666666666667,136.45833333333334,-17.375,214.54166666666666,33.19184,-117.38376
2018-06-10 12:13:06-07:00,1785390352.0,331.0,20.688000000000002,1.0,5206.0,20.494,1.0,,,,,,,3132.261,1785390039.28,-66.125,495.875,1.125,-8.958333333333334,-18.541666666666668,25.875,166.70833333333334,-36.291666666666664,227.375,33.19184,-117.38376
2018-06-10 12:13:12-07:00,1785396371.0,331.0,20.688000000000002,1.0,5213.0,20.522,1.0,,,,,,,3138.306,1785396017.88,-25.666666666666668,495.6666666666667,11.666666666666666,-18.958333333333332,-21.666666666666668,33.875,123.08333333333333,-25.916666666666668,241.33333333333334,33.19184,-117.38376
